4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
75	1.630963796979591e-07	3.6215020270180967e-07	1.6361540266014212e-07	3.492574410539632e-07	3.2671178235810123e-07	5.290129807023812e-07
76	1.497154374035523e-07	3.4256606674092127e-07	1.5563765777006863e-07	3.397016467550127e-07	3.053530951736209e-07	5.031418741459378e-07
77	1.4731358546659688e-07	3.403273291349998e-07	1.6540995625705062e-07	3.8830996914824607e-07	3.127235417236475e-07	5.327324317001934e-07
78	1.4390716196879978e-07	3.3326763429911366e-07	1.672927942351785e-07	3.907505124701165e-07	3.1119995620397827e-07	5.333680081735542e-07
79	1.2454656621337003e-07	2.7662674231947965e-07	1.5658239466082336e-07	3.7532533381062326e-07	2.8112896087419345e-07	4.988382684525008e-07
80	1.2248410602652377e-07	2.705433102657617e-07	1.6214153293280527e-07	3.80747959996448e-07	2.84625638959329e-07	5.013942287424494e-07
81	1.210515433829387e-07	2.6927872211498955e-07	1.6024514073476076e-07	3.7891602329635463e-07	2.8129668411769946e-07	4.993919207018602e-07
82	1.189414628267309e-07	2.6880488747013194e-07	1.58135060178553e-07	3.7879782648541153e-07	2.770765230052839e-07	5.00225929848751e-07
83	1.1430068282068916e-07	2.514287953863033e-07	1.5007305643016218e-07	3.673691998266548e-07	2.6437373925085134e-07	4.884580047279485e-07
84	1.1499763820374215e-07	2.5203522971758845e-07	1.5098813604254122e-07	3.6830000058649544e-07	2.6598577424628334e-07	4.895071690314259e-07
85	1.1225959919889112e-07	2.496331416176771e-07	1.4739318042248073e-07	3.646164040823584e-07	2.596527796213718e-07	4.853416066344746e-07
86	1.114601502124526e-07	2.495407422336821e-07	1.5098813604254122e-07	3.6830000058649544e-07	2.624482862549938e-07	4.893202744471721e-07
87	1.1078463415055897e-07	2.489337690379525e-07	1.315260978245615e-07	2.898093235005695e-07	2.423107319751205e-07	4.3764927053046037e-07
88	1.1153141476916382e-07	2.497099216525507e-07	1.3735320342438386e-07	2.9480523008072254e-07	2.488846181935477e-07	4.4346226807582093e-07
89	1.1800017546391786e-07	2.739915942211768e-07	1.377997561161555e-07	2.9471368730501334e-07	2.557999315800734e-07	4.482921583677805e-07
90	1.2237689228099849e-07	2.8611119410340256e-07	1.3868308788613085e-07	2.954495296116022e-07	2.610599801671293e-07	4.552193321496628e-07
91	1.1786108801372966e-07	2.824238922820193e-07	1.2824029051807162e-07	2.853356980457269e-07	2.461013785318013e-07	4.434027400705523e-07
92	1.1495233035961975e-07	2.8105853572146734e-07	1.3336990213879447e-07	2.898085285193417e-07	2.4832223249841424e-07	4.4788624729783766e-07
93	1.141910566486289e-07	2.802814527175003e-07	1.3248665775376937e-07	2.89049793058727e-07	2.4667771440239825e-07	4.4685485990204097e-07
94	1.1650574022934434e-07	2.8263121638817784e-07	1.3517219811364307e-07	2.9134232296984983e-07	2.516779383429874e-07	4.4996485690657383e-07
95	1.1572382250968432e-07	2.818417656900883e-07	1.342650021531488e-07	2.905726880630995e-07	2.4998882466283314e-07	4.489229152731261e-07
96	1.1595286949828669e-07	2.80301838817485e-07	1.360917368763209e-07	2.92117484699753e-07	2.520446063746075e-07	4.4946230233697876e-07
97	1.1124133078554095e-07	2.74105373183379e-07	1.337616051902715e-07	2.912511506031268e-07	2.4500293597581244e-07	4.394741272590068e-07
98	1.0362895215869142e-07	2.6581960841115666e-07	1.247269650658266e-07	2.8500807397074924e-07	2.28355917224518e-07	4.216726941258548e-07
99	9.803227692068328e-08	2.6293015601778824e-07	1.2317455271357209e-07	2.8486791066785787e-07	2.2120682963425538e-07	4.1715342701912277e-07
100	1.0397211983782193e-07	2.6846686225086e-07	1.1770217085318945e-07	2.7854019589460007e-07	2.2167429069101138e-07	4.189456372235516e-07
101	9.958901419394872e-08	2.635485789920506e-07	1.3162185303831713e-07	3.090032660429997e-07	2.3121086723226587e-07	4.356629271800023e-07
102	9.885674203075792e-08	2.6271567143608976e-07	1.3065404529538835e-07	3.0807042279986896e-07	2.2951078732614627e-07	4.345075010711783e-07
103	9.244726214543215e-08	2.613434100164825e-07	1.3608493674653751e-07	3.297230963066583e-07	2.2853219889196966e-07	4.444070534896203e-07
104	8.754391762396847e-08	2.5616423311579484e-07	1.3425593934267732e-07	3.257713035318979e-07	2.217998569666458e-07	4.407125284518647e-07
105	9.027966504971749e-08	2.5966085677146233e-07	1.3016701626339967e-07	3.2516338591207076e-07	2.2044668131311713e-07	4.4393273406247037e-07
106	9.014378257626631e-08	2.643629858165157e-07	1.4483711916976718e-07	3.414368155175341e-07	2.3498090174603352e-07	4.555837372176353e-07
107	7.860326656318172e-08	2.26045817737977e-07	1.484884751152235e-07	3.449288094613594e-07	2.2709174167840528e-07	4.4172524138664796e-07
108	7.794823934182189e-08	2.2521537248705537e-07	1.4725107115592997e-07	3.4375373010085645e-07	2.2519931049775186e-07	4.4036502264351397e-07
109	8.063610966395368e-08	2.2859190239367418e-07	1.523286942992379e-07	3.485224103685604e-07	2.3296480396319163e-07	4.4586904996607745e-07
110	8.83764134443602e-08	2.423993963579293e-07	1.5102673964710768e-07	3.473129907846691e-07	2.394031530914679e-07	4.4934234449334503e-07
111	8.991339454774039e-08	2.442153581652897e-07	1.437577901161726e-07	3.458802701851226e-07	2.3367118466391298e-07	4.5110747160580776e-07
112	9.070210853500126e-08	2.451382692422192e-07	1.450188233628057e-07	3.471306691165858e-07	2.3572093189780697e-07	4.5254817683372835e-07
