4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
49	9.19527849942673e-08	3.458898286866569e-07	7.6387383714227e-08	2.920966529448158e-07	5.1307409457975275e-08	1.891504505782545e-07
50	8.922111297835321e-08	3.358438407024548e-07	7.32280491350055e-08	2.903919450715204e-07	5.047948394166233e-08	1.8929779299394e-07
51	9.369788570321482e-08	3.4215005864872504e-07	7.087320254255911e-08	2.8867622142586087e-07	4.894362156125157e-08	1.8749303043220883e-07
52	9.889563028117339e-08	3.5884237307011917e-07	7.4798485202377e-08	2.9891052996940627e-07	5.429836125305649e-08	2.0309585656562847e-07
53	1.0258326395267476e-07	3.649535206229391e-07	7.569518921989158e-08	3.0281403555691386e-07	5.253826182819183e-08	2.024131623181372e-07
54	9.359068598016923e-08	3.36924759450641e-07	7.518545730595292e-08	3.018562253547139e-07	5.2184468819247775e-08	2.0177624041372574e-07
55	9.975810868918331e-08	3.450273537144688e-07	8.086479681124046e-08	3.101485089483428e-07	5.2865130009846896e-08	2.0437310856912564e-07
56	9.810413920757388e-08	3.4662619203757727e-07	8.606200209434704e-08	3.175506231642502e-07	4.2935011960836695e-08	1.8533666827738423e-07
57	9.946181620772706e-08	3.5104726959706093e-07	8.895214395572438e-08	3.2244019302526893e-07	4.2439994389271097e-08	1.8601611489211062e-07
58	1.0020964941229643e-07	3.522581698293847e-07	8.962095706817343e-08	3.2355749144809596e-07	4.084130951696165e-08	1.844736422909394e-07
59	1.0096826994251846e-07	3.5160162614196894e-07	9.45252867221392e-08	3.276325749788723e-07	4.336732630004837e-08	1.8894181171079977e-07
60	9.789028674852994e-08	3.4542211806199396e-07	9.207891304382603e-08	3.167953597208067e-07	4.1093733018555264e-08	1.825184930175002e-07
61	9.675541987656412e-08	3.482204792053742e-07	9.271441342332889e-08	3.1990603096662946e-07	4.223977338162254e-08	1.8491522280521945e-07
62	9.561603151703236e-08	3.487280155893788e-07	8.240214408544383e-08	2.886500888157243e-07	4.066250834341654e-08	1.8357224337003784e-07
63	9.186175647580787e-08	3.215525399619177e-07	8.340704828160777e-08	2.902604718300818e-07	4.115839259150698e-08	1.8463293132387538e-07
64	9.575420378410483e-08	3.2772626645940165e-07	8.426620525725137e-08	2.76694549110512e-07	4.290239227758778e-08	1.8830549714234404e-07
65	9.868118817925213e-08	3.322631104885057e-07	8.684202812537697e-08	2.804932119814302e-07	3.8425980181278586e-08	1.8097360864121368e-07
66	8.379393636980825e-08	2.9460713445045196e-07	7.98074882589731e-08	2.6017207012344534e-07	3.488680220473714e-08	1.7328211082057185e-07
67	7.309176212919056e-08	2.5218393564775246e-07	7.67065332615662e-08	2.4865703910453187e-07	3.4734458090305967e-08	1.729186531406146e-07
68	7.796007599646507e-08	2.581542078627699e-07	8.057704640779201e-08	2.542406876705011e-07	3.002412830867975e-08	1.5056437396525876e-07
69	7.375061675589515e-08	2.5768103883872596e-07	8.060083082013904e-08	2.5510575408334414e-07	3.520984532321722e-08	1.6480721688060517e-07
70	7.349135619994857e-08	2.5943332736255963e-07	7.335819606423702e-08	2.3602370213165158e-07	3.231287177213748e-08	1.5850896870958824e-07
71	6.4823723257637e-08	2.289416210121182e-07	7.479659206549658e-08	2.3810060615691108e-07	3.294645749315978e-08	1.599902110813924e-07
72	6.746958951305075e-08	2.3318470814044469e-07	7.575289078081549e-08	2.4130613122642845e-07	3.4291210860227523e-08	1.630813432874366e-07
73	6.059707790017375e-08	2.1576792965082868e-07	7.843347276681833e-08	2.4360097279517623e-07	3.411714380002332e-08	1.626851577027778e-07
