Gene	KL_4.2cnONLYchina	MKL_4.2cnONLYchina
Rv0048c	-5.877566378043042e-09	0.9949884047567844
Rv0049	2.1832517738129553e-08	1.0001081295100196
Rv0050	5.755653675887373e-09	1.0000170264790642
Rv0051	6.743470781778171e-10	1.0000064022681623
Rv0052	9.511434521103368e-07	1.0047107107237285
Rv0053	0.0	1.0
Rv0054	7.341331986765454e-10	0.9999999277458866
Rv0055	-2.4992681257884897e-09	0.9999876219206099
Rv0056	-4.000875741816401e-09	0.9999780696821705
Rv0057	-1.894192858120647e-09	0.9999798813263928
Rv0058	2.570019752567987e-10	0.9999985070719747
Rv0059	-2.775333296511917e-10	0.9999986254657705
Rv0060	1.6101348032648843e-10	1.000000612292747
Rv0061c	0.0	1.000025304610086
Rv0062	2.09148592889008e-09	1.0000096975215171
Rv0063	5.676315029123913e-09	1.0000310508187402
Rv0063a	-6.878595582016089e-09	0.9999659325058691
Rv0064	-4.376686442153499e-07	1.0004507132736624
Rv0064A	-3.4785612390564324e-08	0.999832626926911
Rv0065	7.808157898026025e-09	1.0000349645545534
Rv0066c	1.870302690498704e-09	1.000008256136933
Rv0067c	-1.3111494818862646e-05	0.999534791382888
Rv0068	-2.2621360340480123e-10	0.9999916947681079
Rv0069c	-3.5430858247309516e-10	0.9993170732383639
Rv0070c	2.6431164479312486e-09	1.0000179103517712
Rv0071	-1.0147265805393602e-09	0.9999949743822827
Rv0072	1.368272223301048e-08	1.000068522425297
Rv0073	1.7950480102335575e-08	0.9999411150427037
Rv0074	-9.68173152759988e-10	0.9999950540459237
Rv0075	2.714893283795039e-06	0.9922043866563636
Rv0076c	0.0	1.0
Rv0077c	5.519003087872676e-09	1.0000126299434215
Rv0078	0.0	0.9988927695627864
Rv0078A	-6.8795783514374875e-09	0.9999665540725788
Rv0078B	4.703074707457233e-09	1.0000028152115288
Rv0079	-2.727388870304992e-10	0.9999953883739524
Rv0080	-2.0170598146851404e-05	1.0029749469753801
Rv0081	1.0060517918741851e-08	0.9999291441974456
Rv0082	-5.102053002303819e-09	0.9999714512513589
Rv0083	6.030004551238477e-10	1.0011449892955793
Rv0084	1.1514007525192937e-09	1.00000338902069
Rv0085	2.829182166319555e-09	1.0000135390049312
Rv0086	7.682537939146528e-11	1.0000001450346676
Rv0087	2.356427275529427e-10	1.0000010951350191
Rv0088	-3.827592687244419e-10	0.9999985532934933
Rv0089	-3.477659826778279e-10	0.9999982776257984
Rv0090	-2.9597851947116283e-10	0.9999988055780717
Rv0091	2.2456200898801626e-08	1.0001108548981354
Rv0092	2.026076417749323e-09	1.000008631172937
Rv0093c	1.819181932871672e-08	1.0000862718734411
Rv0094c	2.6612916703694367e-08	1.0000779752150744
Rv0095c	3.4276015048462227e-07	1.001404020264882
Rv0096	4.154463939531894e-09	0.9984917019295144
Rv0097	2.4155250022417363e-10	1.000000290238222
Rv0098	0.0	1.0
Rv0099	1.3356787897933486e-10	1.0000006615191834
Rv0100	8.865786993439428e-09	1.0000439094205733
Rv0101	-3.6392648894434387e-09	0.999962399944948
Rv0102	-2.53357279600408e-10	0.9999950539438405
Rv0103c	5.962796367775525e-10	0.9992316605701638
Rv0104	1.7725417510994212e-06	1.000060143892717
Rv0105c	2.448294011969665e-09	0.9999378675928774
Rv0106	2.579890190368417e-10	1.0000011101804047
Rv0107c	1.8897325171352009e-07	0.9998120673386237
Rv0108c	0.0	1.0
Rv0109	2.080623673350601e-09	0.9999138659709845
Rv0110	5.577372730325436e-09	1.0000279137024086
Rv0111	5.887788590008824e-10	0.9999863878919947
Rv0112	4.9081739228462595e-09	1.0000306365568241
Rv0113	-4.918733470526959e-08	0.9997563907898923
Rv0114	-2.8826141251769855e-08	1.0007011421961478
Rv0115	-4.051042445940567e-09	0.9999796026297101
Rv0115a	0.0	1.0
Rv0116c	3.087204936136345e-10	1.0000015289943243
Rv0117	2.557507428058159e-09	1.000012666520114
Rv0118c	1.5189580875318853e-06	1.000230559493581
Rv0119	-1.912222546973652e-09	0.9999855929811742
Rv0120c	4.953853882661008e-09	1.0000228621677854
Rv0121c	6.571319599579795e-10	1.000003254565401
Rv0122	0.0	1.0
Rv0123	0.0	1.0
Rv0124	2.970326623552566e-09	0.999951138619845
Rv0125	1.664771293041767e-08	0.9967903495886837
Rv0126	5.560668592252682e-11	1.000000275402213
Rv0127	4.862793501203555e-10	1.0000012868092465
Rv0128	2.4638118212294557e-09	1.005388953800898
Rv0129c	-2.0401909606171387e-09	0.9999882664295285
Rv0130	3.7206427383473795e-09	1.000018427159024
Rv0131c	6.572885014044516e-10	1.000003134910398
Rv0132c	7.853980799055194e-10	1.0000092962246463
Rv0133	1.177494601822815e-09	0.9999976947044975
Rv0134	2.605229365570949e-10	1.0000015706737353
Rv0135c	5.085385446079727e-10	1.0000018725040536
Rv0136	4.9168252802545e-10	1.0000025666437427
Rv0137c	6.512848593764886e-10	1.000002678911147
Rv0138	0.0	1.0
Rv0139	1.420560391540704e-09	1.0000071835570434
Rv0140	1.4252079127974326e-08	1.000071972809346
Rv0141c	-7.714024513605366e-08	0.9995586961357774
Rv0142	2.1833918006919362e-10	1.000000814975845
Rv0143c	6.203679236982396e-09	0.9995311034783937
Rv0144	6.049957756992796e-10	0.9995802165515796
Rv0145	2.0130641598115062e-10	0.9999984153129883
Rv0146	-8.331177969722603e-10	0.9999956115147602
Rv0147	3.937184078761646e-09	1.0000193975235605
Rv0148	1.2140293215168185e-09	1.0000057032990404
Rv0149	3.8588965356467497e-10	1.0000008918312968
Rv0150c	1.830839946315166e-08	1.0000906756740995
Rv0151c	-1.645387492921202e-09	1.0007837373632535
Rv0152c	3.2184219178610363e-09	1.000014930831511
Rv0153c	2.778229868383164e-10	0.9999783341493893
Rv0154c	5.28588361969895e-09	1.0000260312036
Rv0155	1.5102508132969206e-10	1.000004164276174
Rv0156	1.4798494651913074e-09	1.000005288727508
Rv0157	7.255024359054119e-10	1.0000040179840737
Rv0157A	0.0	1.0
Rv0158	-2.781355146197484e-09	0.9999868220038903
Rv0159c	4.679167719956467e-09	1.0000104156950442
Rv0160c	1.96693344944876e-09	1.0000096457391647
Rv0161	9.990022697969891e-10	1.0000050914697325
Rv0162c	4.238063677775017e-09	1.0000192066003482
Rv0163	3.883149879424508e-08	1.0001923200515996
Rv0164	-1.3903109049639983e-05	0.999999999990847
Rv0165c	1.9158966635401953e-09	0.9998517986031914
Rv0166	1.5932211012148478e-06	0.9998604973071399
Rv0167	3.2572794461671606e-09	1.0000161322681487
Rv0168	9.936442224578457e-10	1.0000063429251331
Rv0169	3.290018312285259e-06	1.0043219659808087
Rv0170	-4.0303654857964943e-10	0.9999987762359218
Rv0171	1.6827941817787462e-09	1.0000041290388177
Rv0172	-1.5727586258895698e-06	1.0002585057098752
Rv0173	-1.2712545460757951e-09	0.9999930510067584
Rv0174	-1.7457473389104194e-06	0.9974025484119923
Rv0175	7.384790778885986e-09	1.0000365745177948
Rv0176	-6.892052484275268e-10	0.9999963604770025
Rv0177	0.0	1.0
Rv0178	-1.1033900459977986e-09	0.9999940746799373
Rv0179c	-1.0385753368424844e-10	0.9999994856266985
