4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
30	8.29428806625967e-08	9.652684401798971e-08	3.8771085618002055e-08	6.057859018254347e-08	1.2171396628059873e-07	1.3663619892657719e-07
31	8.566438641503025e-08	1.0207165528072835e-07	3.991807072066448e-08	6.4383526259322e-08	1.2558245713569474e-07	1.4751644954537995e-07
32	8.628253667731946e-08	1.0323014020040691e-07	4.0055337692479486e-08	6.453641140192487e-08	1.2633787436979894e-07	1.4845393105169114e-07
33	8.618083629810174e-08	1.0318836487996838e-07	4.0163502573622764e-08	6.475944828965036e-08	1.263443388717245e-07	1.4867665159898968e-07
34	8.673649469513033e-08	1.0361908053699713e-07	4.03405319341166e-08	6.510222748538801e-08	1.2707702662924694e-07	1.4933888333711428e-07
35	8.694384821948624e-08	1.0364254321939066e-07	4.0466341937658405e-08	6.517967654147802e-08	1.2741019015714465e-07	1.4945446093755375e-07
36	8.651750912617989e-08	1.036866326331336e-07	4.077861085472434e-08	6.529614733366006e-08	1.2729611998090424e-07	1.493621456420366e-07
37	8.977329922535177e-08	1.0663880797920862e-07	4.090398709302867e-08	6.480590557022587e-08	1.3067728631838045e-07	1.513679790588022e-07
38	8.964278886141663e-08	1.0609678399365211e-07	4.240046675427874e-08	6.84685748917276e-08	1.3204325561569537e-07	1.544364985384508e-07
39	9.045668714488307e-08	1.0708296433900464e-07	4.237666513645567e-08	6.95422673309571e-08	1.3283335228133873e-07	1.5613667409694792e-07
40	9.162627635649238e-08	1.1186756179996665e-07	4.2552689588332867e-08	6.976491995396805e-08	1.3417896594482524e-07	1.6076422289956038e-07
41	9.226263276964325e-08	1.1240784207011033e-07	4.41847917806795e-08	7.126530781443259e-08	1.3644742455032274e-07	1.6285333275604713e-07
42	9.354990497031899e-08	1.1285007932757562e-07	4.5023184195914675e-08	7.213107873505967e-08	1.3857308916623364e-07	1.649965005431727e-07
43	9.519516176790059e-08	1.1188646677122892e-07	4.5750883776047195e-08	7.244078140182132e-08	1.4094604554394775e-07	1.6315756552206613e-07
44	9.490927825574603e-08	1.1175272710133755e-07	4.551938819463288e-08	7.299981344770275e-08	1.4042866645037893e-07	1.6350357963482768e-07
45	9.511261286482644e-08	1.1105417879058565e-07	4.945844323031808e-08	8.033724415568329e-08	1.4457105609514453e-07	1.6902963410649197e-07
46	9.270784933969722e-08	1.1135766251412568e-07	4.9045609931975726e-08	8.152322908377212e-08	1.4175345927167294e-07	1.7071948705741737e-07
47	8.918849666498205e-08	1.0925709958834669e-07	4.68338554833497e-08	7.872254305243438e-08	1.3602235214833175e-07	1.6597053677126446e-07
48	9.061548792097779e-08	1.1051011593662391e-07	4.6621204136729405e-08	7.881766069487356e-08	1.372366920577072e-07	1.6661314481987946e-07
