4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
45	3.421626654694126e-08	6.482080300580442e-08	9.431974826054105e-09	2.8110888268528996e-08	5.810201857322714e-09	1.5965058869730108e-08
46	3.3700869550865766e-08	6.529949558279304e-08	9.360286343697966e-09	2.8173141510736964e-08	5.9844540374119894e-09	1.620442912782466e-08
47	3.1618780503849074e-08	6.141891791276403e-08	9.312226869641225e-09	2.8396423362083216e-08	5.902848109859397e-09	1.6222269507766322e-08
48	3.161174845581192e-08	6.158231056722905e-08	9.394879770851057e-09	2.8508548879892868e-08	5.61457591006643e-09	1.6001624534424704e-08
49	3.07249816244209e-08	6.095113261170875e-08	9.925171772958215e-09	3.1068905945601574e-08	4.948791322506729e-09	1.495248031453817e-08
50	2.938540104227105e-08	5.920320123836332e-08	9.021987284702784e-09	3.0179478963580276e-08	4.66175774477076e-09	1.4839024567154675e-08
51	2.949439688048042e-08	5.93943523544949e-08	8.788182619697372e-09	3.0023010847060244e-08	4.6315655809238546e-09	1.4792355795668448e-08
52	2.9608435193454135e-08	6.031110667753042e-08	8.844718580707425e-09	3.025674728324543e-08	4.3460912202243184e-09	1.3518879145814174e-08
53	2.989554839487584e-08	6.026272421654046e-08	7.2063245901755835e-09	2.3904183949406285e-08	4.694956645998273e-09	1.4505407686334178e-08
54	3.093598232174937e-08	6.153707804366904e-08	7.1577971518579016e-09	2.3830851453308974e-08	5.311040593731822e-09	1.6652020517157642e-08
55	3.2150115396649085e-08	6.177766577970006e-08	7.04211766123624e-09	2.4184892670419302e-08	5.337052525994351e-09	1.6621274484026736e-08
56	3.376522791586089e-08	6.315115532324618e-08	6.1257520502507334e-09	1.8887780020186416e-08	5.452656551828164e-09	1.6781553387221357e-08
57	3.319743652320817e-08	6.218187127025865e-08	6.216167002917484e-09	2.002523613095757e-08	5.371371946112632e-09	1.6559636976372884e-08
58	3.294285062334063e-08	6.227043072607004e-08	6.024077933746573e-09	1.9786225663571955e-08	5.172931034409354e-09	1.6230234911537966e-08
59	3.28144354584313e-08	6.177157112443152e-08	5.677093326890431e-09	1.892717697916964e-08	5.017813489012572e-09	1.60996135641285e-08
60	3.310143255833651e-08	6.157829873559717e-08	5.718617025049593e-09	1.9144299482813338e-08	5.093289931367477e-09	1.6303448409995668e-08
61	3.124837995905212e-08	5.1647597064812686e-08	5.709407908706379e-09	1.90920441210034e-08	5.1150077835613435e-09	1.643420047199089e-08
62	3.070999072233622e-08	5.1970486276229155e-08	5.397257907632324e-09	1.898748408110918e-08	5.036755950383988e-09	1.6422873811636685e-08
63	3.1998348422249264e-08	5.24806632743738e-08	6.586439568550778e-09	2.2879923700522756e-08	5.098179803437451e-09	1.651323076478783e-08
64	3.464072794006631e-08	5.428766564602684e-08	6.940587625796803e-09	2.3324879955207217e-08	5.314204371379716e-09	1.6825377160711354e-08
65	3.493329110422063e-08	5.4670813104266715e-08	6.657666316204803e-09	2.334420421463739e-08	5.4766472997625025e-09	1.7054535510222e-08
66	3.309257261706017e-08	5.295383518930809e-08	6.748548432622924e-09	2.3391996290917738e-08	5.500667682656197e-09	1.7088029222760725e-08
67	3.561909865460416e-08	6.296345717008211e-08	6.814853002045531e-09	2.3362328429658485e-08	6.0954960621923365e-09	1.9271657244655205e-08
68	3.9912685874375234e-08	6.655283472012366e-08	7.454602584235013e-09	2.4052288246480402e-08	6.403066964413051e-09	1.970196893744892e-08
69	3.9937507040412e-08	6.68977098793146e-08	7.504240273954512e-09	2.4275660503525643e-08	5.976749986815982e-09	1.8240017269957108e-08
70	4.051089152309426e-08	6.743164307727011e-08	7.157412039424568e-09	2.3891063854351655e-08	5.614291980797515e-09	1.8049229315121457e-08
71	4.180975714247077e-08	6.801297696020135e-08	7.485898138007405e-09	2.419484221987733e-08	5.377032101508172e-09	1.7628842705596224e-08
72	4.27329815982206e-08	6.890385234946012e-08	7.791445000783217e-09	2.463540589834534e-08	5.074305303567004e-09	1.6563742045581307e-08
73	4.327947853851912e-08	6.915329208844293e-08	7.942748425699328e-09	2.4663930569248028e-08	5.0485474086250394e-09	1.652558357773584e-08
74	4.18703941073866e-08	6.685678275915158e-08	8.192258847449047e-09	2.5007491181851473e-08	5.2071405209378695e-09	1.6758520034322765e-08
75	4.3199851525109074e-08	6.704141492428087e-08	7.851882459165606e-09	2.3082237161997186e-08	5.337746090585422e-09	1.6945314998728433e-08
76	4.301318191238707e-08	6.686297578701061e-08	7.567845113165429e-09	2.2971800180358316e-08	4.999053606137852e-09	1.6586676538840397e-08
77	4.098534112864083e-08	6.467593156801467e-08	8.204277365876316e-09	2.4812892308352488e-08	5.575650880104844e-09	1.857078789435105e-08
78	4.23156709062091e-08	6.615845999601097e-08	7.45878276169235e-09	2.1972201055967025e-08	5.692890056686408e-09	1.8900772391806923e-08
79	3.9796349552556063e-08	6.498620046516904e-08	8.034173129377983e-09	2.2690535807870285e-08	5.82813862386262e-09	1.9113058099471595e-08
80	3.7451253841257745e-08	5.17839242042077e-08	8.319410045213886e-09	2.3038369742287572e-08	5.196496405796014e-09	1.6358809668036638e-08
81	3.707812964237295e-08	5.1597826889701683e-08	8.222107003749396e-09	2.292070507879004e-08	5.1357186700557096e-09	1.6272456542897524e-08
82	3.669434041454553e-08	5.16765899411571e-08	8.222107003749398e-09	2.292070507879004e-08	5.004331366835512e-09	1.6222614066784523e-08
83	3.656509007189591e-08	5.137461166133314e-08	6.5444917931263295e-09	1.7307159026134674e-08	4.884535920100683e-09	1.611870311582279e-08
