4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
21	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
22	9.640867712293145e-08	2.2954965220030034e-07	6.122977639587608e-08	1.6680340794456366e-07	1.576384535188075e-07	3.077113667202888e-07
23	9.862402289771757e-08	2.341385005025541e-07	6.109608692776281e-08	1.6664571723887417e-07	1.597201098254804e-07	3.105798793971183e-07
24	9.905658440165494e-08	2.3456008104926175e-07	6.136405222130563e-08	1.6696153260728443e-07	1.6042063662296058e-07	3.1107965555373087e-07
25	1.0040831636488273e-07	2.360746384973158e-07	6.122977639587608e-08	1.6680340794456366e-07	1.616380927607588e-07	3.1182476375735435e-07
26	1.0084967160165145e-07	2.3649883059379482e-07	6.149891827014367e-08	1.6712009312348565e-07	1.6234858987179515e-07	3.123247353149124e-07
27	1.0084967160165145e-07	2.3649883059379482e-07	6.149891827014367e-08	1.6712009312348565e-07	1.6234858987179515e-07	3.123247353149124e-07
28	1.0084967160165145e-07	2.3649883059379482e-07	6.149891827014367e-08	1.6712009312348565e-07	1.6234858987179515e-07	3.123247353149124e-07
29	1.0040831636488273e-07	2.360746384973158e-07	6.122977639587608e-08	1.668034079445637e-07	1.616380927607588e-07	3.1182476375735435e-07
30	1.0062851004112151e-07	2.362864676628012e-07	6.136405222130563e-08	1.6696153260728443e-07	1.6199256226242715e-07	3.1207450364311907e-07
31	1.0341306403103373e-07	2.424847126771935e-07	6.323827125297733e-08	1.7100997382259766e-07	1.6665133528401107e-07	3.178001167141817e-07
32	1.0409791875971607e-07	2.431397544507122e-07	6.365706775134142e-08	1.71497590031854e-07	1.6775498651105753e-07	3.1856023751114375e-07
33	1.0352561562391146e-07	2.425884138440681e-07	7.041034364430982e-08	2.1444537858844084e-07	1.7393595926822128e-07	3.4160834902289206e-07
34	1.0345248355298984e-07	2.425743465241893e-07	7.136398261014697e-08	2.1573504872712925e-07	1.748164661631368e-07	3.426591662470857e-07
35	1.0345248355298984e-07	2.425743465241893e-07	7.136398261014697e-08	2.1573504872712925e-07	1.748164661631368e-07	3.426591662470857e-07
36	1.0321948246390652e-07	2.423506470182237e-07	7.120325291958358e-08	2.1551851956930756e-07	1.744227353834901e-07	3.423733794110979e-07
37	1.1185592896016556e-07	2.748051308317661e-07	7.278226881738145e-08	2.1634021018550232e-07	1.84638197777547e-07	3.6598298619025676e-07
38	1.1798743785494357e-07	2.9791349308735405e-07	7.322465804264742e-08	2.1669238480451945e-07	1.9121209589759097e-07	3.831223817093093e-07
39	1.1689632636737354e-07	3.0155608154280167e-07	6.877599047916012e-08	2.0896395149712461e-07	1.8567231684653365e-07	3.797189357082898e-07
40	1.196795722332634e-07	3.0936575872077775e-07	6.909085091678896e-08	2.098572079187627e-07	1.8877042315005235e-07	3.847271712474013e-07
41	1.193487423893238e-07	3.0992671419981313e-07	6.511306397050598e-08	1.657982044558077e-07	1.844618063598298e-07	3.658592196430295e-07
42	1.1859621408990259e-07	3.093737840675769e-07	6.532531621341157e-08	1.6824978629438977e-07	1.8392153030331415e-07	3.657031253751513e-07
43	1.1755865627838165e-07	3.0734627661529474e-07	6.097442332455998e-08	1.630665800428594e-07	1.7853307960294163e-07	3.637616705666802e-07
44	1.172642985542985e-07	3.068513478451815e-07	6.484492722326537e-08	1.7626172130818048e-07	1.8210922577756386e-07	3.691978330094752e-07
45	1.1077242389558341e-07	2.7481810259585255e-07	6.526863963793627e-08	1.7695031479126198e-07	1.760410635335197e-07	3.4163382062130016e-07
46	1.0983218244732622e-07	2.7392020721875083e-07	6.284796268945113e-08	1.7479821625164927e-07	1.7268014513677732e-07	3.358584408284313e-07
47	1.0385194911999124e-07	2.442575053401301e-07	6.145316585770246e-08	1.702002294714893e-07	1.653051149776937e-07	3.1064300113024817e-07
48	1.0477371198200301e-07	2.481243062615469e-07	6.282038111825528e-08	1.7342994916687035e-07	1.675940931002583e-07	3.2022256098688276e-07
49	1.0147006447000748e-07	2.451669327065498e-07	6.258977202121001e-08	1.7350026960877138e-07	1.6405983649121748e-07	3.1938187085825984e-07
50	9.39466964663513e-08	2.3572982428711532e-07	6.193171930150237e-08	1.7026300132669513e-07	1.558784157678537e-07	3.1235459955460024e-07
51	9.175596502847855e-08	2.3488564866354057e-07	6.188772478881851e-08	1.7477691236379552e-07	1.5364368981729704e-07	3.1296341618775885e-07
52	9.366681975170915e-08	2.3969165843211553e-07	6.030825573748067e-08	1.7384056891505999e-07	1.539750754891898e-07	3.150060771359866e-07
53	9.615422918829157e-08	2.4342008158024025e-07	6.113582032049643e-08	1.7546130545105686e-07	1.5729004950878801e-07	3.174862102020207e-07
54	9.987639786767381e-08	2.594793445099883e-07	6.62661542002436e-08	2.2200214637352343e-07	1.6614255206791743e-07	3.5459899122666417e-07
55	9.767923257121453e-08	2.5767595657950687e-07	6.641619430609884e-08	2.2487197499570977e-07	1.6409542687731334e-07	3.5049143900703926e-07
56	1.0707470132181348e-07	3.0539445999847697e-07	6.918850717619078e-08	2.300727405417822e-07	1.7626320849800427e-07	3.908521761591671e-07
57	1.1723705368569724e-07	3.2516974810762176e-07	6.832303212448714e-08	2.2861631795961329e-07	1.855600858101844e-07	4.0507004824778745e-07
58	1.1667824874585029e-07	3.2590278615398246e-07	6.739645258643561e-08	2.2862075519277517e-07	1.840747013322859e-07	4.048656491326221e-07
59	1.1633042110139945e-07	3.253714819211249e-07	6.785760110234295e-08	2.2810136114774308e-07	1.841880222037424e-07	4.0510620068583875e-07
60	1.1079121352932854e-07	3.188289943047806e-07	6.905229230530848e-08	2.3136595338910454e-07	1.79843505834637e-07	4.034056974597862e-07
61	1.09527130560125e-07	3.2010048536428566e-07	7.064821422038608e-08	2.373903456230863e-07	1.8017534478051107e-07	4.058573807234818e-07
62	1.0752815935339202e-07	3.2060231384700364e-07	6.977631615870892e-08	2.3759941670955549e-07	1.7730447551210097e-07	4.071642231403889e-07
63	1.085499648609394e-07	3.2162721014078497e-07	6.919346565635354e-08	2.3827841726580359e-07	1.7774343051729292e-07	4.0866952547033563e-07
64	1.1483089109895586e-07	3.280101961296474e-07	7.065420964341439e-08	2.422192967925931e-07	1.8548510074237024e-07	4.1565677391229255e-07
65	1.1159563590725585e-07	3.29486071384406e-07	7.72924285151814e-08	2.671549809170956e-07	1.8888806442243723e-07	4.290358555135664e-07
66	1.0651598247088426e-07	3.2113604124561924e-07	7.837539520109906e-08	2.677099763702817e-07	1.8489137767198332e-07	4.2377381353868e-07
67	1.1438018989716809e-07	3.279928687328257e-07	7.415179245533013e-08	2.617693592396152e-07	1.8853198235249824e-07	4.248875531771259e-07
68	1.204199042212828e-07	3.359484797175234e-07	7.789339666179175e-08	2.6774865771339354e-07	1.9831330088307453e-07	4.338895099456901e-07
69	1.2319379807553469e-07	3.393256473944716e-07	7.972188015150518e-08	2.7060381004252683e-07	2.0291567822703983e-07	4.3786127224141867e-07
70	1.1716444215854149e-07	3.295845304435689e-07	7.169152335464335e-08	2.617272443934223e-07	1.888559655131848e-07	4.2808661518990015e-07
71	1.1712858591806604e-07	3.2827227786166503e-07	7.002892400044006e-08	2.630977525691338e-07	1.871575099185061e-07	4.2553205602549095e-07
72	1.1277667042909978e-07	3.1943590968523906e-07	6.881181476872373e-08	2.237355810643729e-07	1.8158848519782352e-07	3.9738151721675713e-07
73	1.1450615183265035e-07	3.195427845624443e-07	6.846251621659824e-08	2.2322057375534586e-07	1.8296866804924858e-07	3.968423458182509e-07
74	1.1810320372268126e-07	3.238677756780202e-07	7.061317117628195e-08	2.2636435097146116e-07	1.887163748989632e-07	4.0167934674625253e-07
75	1.2332117921857204e-07	3.2675208859126774e-07	7.298413952033234e-08	2.2822928700448338e-07	1.9630531873890435e-07	4.038543787654078e-07
76	1.2210643261681945e-07	3.269928171461821e-07	7.457075124903521e-08	2.3044013029303776e-07	1.9667718386585466e-07	4.0563923006012715e-07
77	1.1797761257423625e-07	3.209114400343042e-07	6.617276290797968e-08	2.0891367617918276e-07	1.841503754822159e-07	3.9163506329067573e-07
78	1.1320107080390434e-07	3.16216992387886e-07	5.385165504344619e-08	1.6561881678557556e-07	1.6705272584735055e-07	3.639546446281605e-07
79	1.1389661327605912e-07	3.176656781401557e-07	5.02606894358679e-08	1.5629425697275197e-07	1.64157302711927e-07	3.5509360818430066e-07
80	1.0384179753497407e-07	2.9525103684550024e-07	5.204509261110581e-08	1.5875228461381716e-07	1.5588689014607988e-07	3.379361840958039e-07
81	1.0341007992974223e-07	2.9363539937125106e-07	5.221918442018819e-08	1.5799518497430726e-07	1.5562926434993038e-07	3.3627423776192816e-07
82	1.110265234587685e-07	3.0175206809997884e-07	5.0634478897473914e-08	1.5714973872339126e-07	1.616610023562424e-07	3.4234913097316305e-07
83	1.1142409059527088e-07	3.042027136387765e-07	4.635431646633533e-08	1.4113681457897335e-07	1.577784070616062e-07	3.395389669651442e-07
84	1.121035057818274e-07	3.0500391822126313e-07	4.663696473747152e-08	1.4151989100573136e-07	1.5874047051929892e-07	3.403482913520373e-07
85	1.0943437469178388e-07	3.0183529774015247e-07	4.5526560815150786e-08	1.4000563612571625e-07	1.5496093550693467e-07	3.3714183493607887e-07
86	1.1210350578182741e-07	3.0500391822126313e-07	4.663696473747152e-08	1.4151989100573136e-07	1.5874047051929892e-07	3.403482913520373e-07
87	9.404716716262213e-08	2.151435964222076e-07	4.635431646633533e-08	1.4113681457897335e-07	1.4040148362895743e-07	2.6579160445743977e-07
88	9.821381380906741e-08	2.189251570235418e-07	4.840798871484386e-08	1.438843293397471e-07	1.4662180252391124e-07	2.6993145842108727e-07
89	8.910689758200778e-08	2.0605963111867661e-07	4.871631985315497e-08	1.442897910590574e-07	1.3782321743516275e-07	2.6158449830035826e-07
90	8.620393353594192e-08	2.0349369594219928e-07	4.1115234709941727e-08	1.0900501202860617e-07	1.273191682458836e-07	2.451939727863477e-07
91	9.724824452547393e-08	2.3200174218514775e-07	4.2663502605670516e-08	1.1011963285640511e-07	1.3991174713114447e-07	2.689201431102574e-07
92	1.0113817430649289e-07	2.3576339901644785e-07	4.27598440983394e-08	1.108469806183294e-07	1.4389801840483227e-07	2.7289837546937314e-07
93	1.214908456587674e-07	3.425652587652906e-07	4.2476666322853705e-08	1.1053375207336476e-07	1.639675119816211e-07	3.666033374873371e-07
94	1.2029154328179453e-07	3.4399736199588185e-07	4.3337679829398027e-08	1.1148117469136509e-07	1.6362922311119256e-07	3.685015869207001e-07
95	1.2603214934631663e-07	3.456123331576675e-07	4.304682291779133e-08	1.1116277717601441e-07	1.69078972264108e-07	3.6919945019421863e-07
96	1.2774687246667473e-07	3.476405839442914e-07	4.3632493977897345e-08	1.1180220663094685e-07	1.7137936644457206e-07	3.7117183045421636e-07
97	1.263491768804348e-07	3.4878863584353874e-07	4.265446077435753e-08	1.1144900217851292e-07	1.6900363765479234e-07	3.7097887953155676e-07
98	1.23087676151012e-07	3.4676355124460795e-07	4.053166366542558e-08	1.097906196777892e-07	1.636193398164376e-07	3.6939914909389143e-07
99	1.2995892020926225e-07	3.6125441520552954e-07	3.825868544079259e-08	1.0871391406947926e-07	1.6821760565005485e-07	3.822418199847728e-07
100	1.1342841577834907e-07	2.6173678926253846e-07	4.0912625976764997e-08	1.1114956081758274e-07	1.5434104175511405e-07	2.932746567821964e-07
101	1.1510883675284314e-07	2.633013889616687e-07	4.151873895419855e-08	1.1185743326700946e-07	1.5662757570704168e-07	2.9483234663692144e-07
102	1.1426244824730753e-07	2.6251584700676967e-07	4.1213454108947084e-08	1.1150186811112506e-07	1.554759023562546e-07	2.9405102870768484e-07
103	1.1715040590759823e-07	2.6528491599712924e-07	3.8898940322587896e-08	1.1062079939211919e-07	1.560493462301861e-07	2.9489696198515254e-07
