4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
55	5.106664482998616e-08	2.0107806911104325e-07	8.730894284366038e-09	7.916676288680214e-08	6.618655191746646e-09	5.911758469054924e-08
56	5.350647648398901e-08	2.06544563407694e-07	8.920011128070718e-09	8.000902990251759e-08	6.76201956413105e-09	5.974630490527243e-08
57	5.530333576889909e-08	2.0974727257743137e-07	9.219563740580557e-09	8.132439373453111e-08	3.800132615007495e-09	3.157344279543379e-08
58	5.427886377704614e-08	2.0954274595285297e-07	9.288883768705222e-09	8.162560783901292e-08	3.828705040684243e-09	3.169019170232171e-08
59	5.483790474675491e-08	2.0915690027476474e-07	9.219563740580557e-09	8.132439373453111e-08	3.800132615007495e-09	3.157344279543379e-08
60	5.552795655609298e-08	2.1201651265626235e-07	9.576911172386003e-09	8.286481778705582e-08	3.947424576829491e-09	3.217047892858283e-08
61	5.8197998350641844e-08	2.2134594863023947e-07	8.392703754915506e-09	8.095211563497137e-08	4.0575121148287194e-09	3.260913819067988e-08
62	5.722609855507117e-08	2.2138445719610487e-07	8.46011503005539e-09	8.12730658020658e-08	4.090102573582364e-09	3.273780087930033e-08
63	5.64901966185251e-08	2.2187087618522412e-07	8.56328716456826e-09	8.176172887216068e-08	4.139981873260198e-09	3.2933681769569623e-08
64	5.741266649381352e-08	2.2545934208694852e-07	8.926138315609288e-09	8.345659546175574e-08	4.315404833991563e-09	3.3612931465821454e-08
65	5.7674811096781986e-08	2.2791661320346614e-07	1.5170300646250917e-08	1.3884490344126e-07	4.4473167721485104e-09	3.411420188332873e-08
66	5.8671735601039984e-08	2.284701529277335e-07	1.5236837052594122e-08	1.391454118246219e-07	4.466822547464951e-09	3.418765762890163e-08
67	5.453417503693072e-08	2.2130109034683552e-07	1.5170300646250917e-08	1.3884490344126e-07	4.4473167721485104e-09	3.411420188332873e-08
68	5.72858994653997e-08	2.2646790374344704e-07	1.5935774532070914e-08	1.422618966190224e-07	4.671722664321141e-09	3.4949294556877747e-08
69	5.863063888947011e-08	2.2893843142275442e-07	1.6309853746438776e-08	1.4390075390090593e-07	4.7813875155962855e-09	3.534970226136373e-08
70	5.724208797868019e-08	2.3048271434362865e-07	9.553110660472734e-09	1.1969175881318316e-07	4.8963247154904274e-09	3.576418846427152e-08
71	5.5296166362203115e-08	2.3127223924953943e-07	9.740426555776122e-09	1.2085196253466464e-07	4.992331082460828e-09	3.610647899720218e-08
72	5.1254756814770474e-08	1.8138237693824264e-07	1.0137994986624127e-08	1.2327731658878952e-07	7.419062967329136e-09	4.792008135030372e-08
73	5.099458038423864e-08	1.809580928701498e-07	1.0086533083138725e-08	1.2296614257193092e-07	7.381402749220866e-09	4.780120984967473e-08
74	5.259650437536656e-08	1.8354901425218105e-07	1.040338752554099e-08	1.2486941498335104e-07	7.6132792753744e-09	4.852802318528173e-08
75	5.467997271727468e-08	1.8530920380250655e-07	1.0569399028608132e-08	1.2585479960691716e-07	7.734767774449524e-09	4.890407592464766e-08
76	5.586866777634587e-08	1.8713524813936902e-07	1.079916857270831e-08	1.2720567877079244e-07	7.902914899981037e-09	4.941934117163332e-08
77	4.7770712859985887e-08	1.5983871500790587e-07	1.0625919879028496e-08	1.2618848138961548e-07	7.776130168965297e-09	4.903138131550873e-08
78	4.4176260618360966e-08	1.5363724555503092e-07	1.5517277122555579e-09	2.070262985590895e-08	8.123666712829669e-09	5.008690283788996e-08
79	4.1971429998209264e-08	1.5023355298822885e-07	1.5871957742499707e-09	2.093655019549953e-08	6.702063663408662e-09	4.6222660068509594e-08
80	4.3461539938974096e-08	1.526652023940305e-07	1.6435459200813305e-09	2.130278986794654e-08	6.940006752050389e-09	4.70184672874376e-08
81	4.373602417697029e-08	1.5196325545544588e-07	1.6243231607821336e-09	2.117858291319451e-08	6.858837082435765e-09	4.674865164990796e-08
82	4.215131865425602e-08	1.509950538680214e-07	1.6243231607821336e-09	2.117858291319451e-08	6.858837082435765e-09	4.674865164990796e-08
83	3.756267766881861e-08	1.337016460225376e-07	1.6833894575378477e-09	2.1557903673199055e-08	7.108249339978884e-09	4.7572407572511784e-08
84	3.7791718386311406e-08	1.3407637786140313e-07	1.6936540274008833e-09	2.1623127114702692e-08	7.151592323759243e-09	4.771397686449797e-08
85	3.6891915567589704e-08	1.325958492492673e-07	1.653328931510386e-09	2.136571844833375e-08	6.981316316050689e-09	4.7155137740945136e-08
86	3.7791718386311406e-08	1.3407637786140313e-07	1.6936540274008833e-09	2.1623127114702692e-08	7.151592323759243e-09	4.771397686449797e-08
87	3.756267766881861e-08	1.337016460225376e-07	1.6833894575378477e-09	2.1557903673199055e-08	7.108249339978884e-09	4.7572407572511784e-08
88	3.9226846932627025e-08	1.3639219363951814e-07	1.7579700031249675e-09	2.20273010036702e-08	7.4231717790918725e-09	4.859075701807511e-08
89	3.947669946086032e-08	1.367898260061208e-07	1.7691672642913686e-09	2.209689204866314e-08	7.470453128003285e-09	4.8741635834637805e-08
90	3.181638598179903e-08	9.807435202409313e-08	1.780508080088108e-09	2.2167146830504627e-08	7.518340648054589e-09	4.8893927813103925e-08
91	3.3364653877527814e-08	9.94565917168121e-08	1.780508080088108e-09	2.2167146830504627e-08	7.518340648054589e-09	4.8893927813103925e-08
92	3.3089041421070986e-08	9.980586514528467e-08	1.8517284032916324e-09	2.2603225740013077e-08	7.819074273976771e-09	4.983863326291131e-08
93	3.286990869642813e-08	9.951103108275725e-08	1.8394653012830785e-09	2.252875693849234e-08	7.767292325142489e-09	4.9677378882159354e-08
94	3.3536190629463844e-08	1.004033166381808e-07	1.8767517600928706e-09	2.2754405811726182e-08	7.924737439841323e-09	5.016590560505601e-08
95	3.331111552456811e-08	1.0010328138720608e-07	1.864156110696274e-09	2.267843788153952e-08	7.871551282526951e-09	5.0001466863256006e-08
