4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
58	1.1109320495317217e-07	9.898722479668199e-08	6.7934616074048e-08	6.100604375035964e-08	1.790278210272202e-07	1.5472950431927569e-07
59	1.0916922289388537e-07	9.920503468043072e-08	6.793815193807542e-08	6.09205628775858e-08	1.771073748319608e-07	1.5505288365495838e-07
60	1.0808245307893053e-07	9.918042090356253e-08	6.712819587429597e-08	6.082762673399015e-08	1.752106489532265e-07	1.5518003293707456e-07
61	1.0577592301750014e-07	9.648126114359893e-08	6.538873531072171e-08	5.754797730493606e-08	1.7116465832822187e-07	1.4956893808690695e-07
62	1.0398448094305939e-07	9.658932915612491e-08	6.487734202286044e-08	5.885992311309403e-08	1.6886182296591983e-07	1.5025045814285267e-07
63	1.0404364270393897e-07	9.74494503234031e-08	6.533336457140766e-08	5.9224381035388494e-08	1.6937700727534664e-07	1.5147615540644456e-07
64	1.0631105083988744e-07	9.928798211227474e-08	6.72919988532047e-08	5.8512463918010914e-08	1.7360304969309214e-07	1.5354597486767157e-07
65	1.0574696040849603e-07	1.0053854249756988e-07	6.704668464071115e-08	5.941642879344049e-08	1.7279364504920712e-07	1.5573084995505473e-07
66	1.0050589616218773e-07	9.589442155685336e-08	6.437427179062318e-08	5.806507717188172e-08	1.6488016795281093e-07	1.4974069049849512e-07
67	1.0157050037397312e-07	9.57116380022812e-08	6.407122819822596e-08	5.7272709293239924e-08	1.6564172857219907e-07	1.4864353181310243e-07
68	1.0485549397834131e-07	9.646314838778636e-08	6.501904548661337e-08	5.762352436116226e-08	1.698745394649547e-07	1.4971808539964762e-07
69	1.0422549601521846e-07	9.667722225249823e-08	6.426072206487913e-08	5.7441298740076324e-08	1.6848621808009754e-07	1.4976328963458814e-07
70	1.0348601340053915e-07	9.708570134997459e-08	6.330551667696301e-08	5.730208733949058e-08	1.6679153007750218e-07	1.5011271254539806e-07
71	9.857908977254127e-08	9.308340332389703e-08	6.154006702467887e-08	5.669231598113946e-08	1.6011915679722015e-07	1.4594605219078002e-07
72	9.947622275204734e-08	9.380741664401988e-08	6.20826144947307e-08	5.6853566089566476e-08	1.6155883724677804e-07	1.4686181930344321e-07
73	1.00920414789311e-07	9.420969834286251e-08	6.275261650880002e-08	5.7123262072918974e-08	1.6367303129811096e-07	1.4760182483540506e-07
74	1.0096477706703026e-07	9.318747775148122e-08	6.200841676022391e-08	5.7629238687017176e-08	1.6297319382725417e-07	1.4733286152439374e-07
75	1.0368157636487952e-07	9.309071274104549e-08	6.425996424723232e-08	5.7325838765748444e-08	1.6794154061211186e-07	1.4686934671459723e-07
76	1.0315156582142196e-07	9.319752190539632e-08	6.270525026462312e-08	5.657456351215187e-08	1.6585681608604507e-07	1.4639709710801353e-07
77	1.0097610324883314e-07	9.159791190926235e-08	6.126663186263232e-08	5.450068902754836e-08	1.6224273511146548e-07	1.427795782231461e-07
78	1.002117340192082e-07	9.140246369256437e-08	6.054413508031417e-08	5.418931870877689e-08	1.6075586909952236e-07	1.4215216414000605e-07
79	9.930201839671405e-08	9.018016301386353e-08	5.991649087182228e-08	5.423837691002696e-08	1.5921850926853635e-07	1.40735009650497e-07
