4.2_YBP	4.2_nonoptimal	4.2_nonoptimalStd	4.2_optimal	4.2_optimalStd	4.2_normal	4.2_normalStd
22	3.5094411641056026e-08	3.4347755326989256e-08	1.850119420913382e-08	1.6500627721299056e-08	9.861337143659736e-09	1.1069373964881456e-08
23	3.5596878977813066e-08	3.595236762290759e-08	1.879170869698136e-08	1.7613813578227208e-08	1.0115564263512194e-08	1.2320717014959445e-08
24	3.5729924982460623e-08	3.597314099624191e-08	1.8874128471968113e-08	1.7608280929652095e-08	1.015993077343988e-08	1.2329440249422348e-08
25	3.572306052208315e-08	3.593406050045252e-08	1.8921977388303956e-08	1.7618658520747204e-08	1.022684795607447e-08	1.2398563890463682e-08
26	3.5880084963938464e-08	3.5934642162948766e-08	1.8898390680259237e-08	1.7650800475177267e-08	1.0271801133903368e-08	1.24071893687542e-08
27	3.5880084963938464e-08	3.5934642162948766e-08	1.8898390680259237e-08	1.7650800475177267e-08	1.0271801133903368e-08	1.24071893687542e-08
28	3.5880084963938464e-08	3.5934642162948766e-08	1.8898390680259237e-08	1.7650800475177267e-08	1.0271801133903368e-08	1.24071893687542e-08
29	3.5775700871374007e-08	3.589929434110425e-08	1.8990055532338764e-08	1.7674787894954276e-08	1.035844882930161e-08	1.2606745435183467e-08
30	3.5934217956742834e-08	3.584806863718735e-08	1.9061404193704084e-08	1.7665267216519385e-08	1.0429333054627533e-08	1.2613419146048556e-08
31	3.666525412271715e-08	3.732995133601175e-08	1.9542703985103116e-08	1.8321973656307225e-08	1.0813892706220137e-08	1.306907107997933e-08
32	3.7385713535856004e-08	3.7847829631475295e-08	1.977906115064731e-08	1.8472723347232776e-08	1.10557239177309e-08	1.3214082960364094e-08
33	3.755042578297218e-08	3.797800696091066e-08	1.9964974272713092e-08	1.855860289752719e-08	1.124933083513832e-08	1.3225047965828454e-08
34	3.7807454472299213e-08	3.8154115862038836e-08	2.0030409540249955e-08	1.8632431773965727e-08	1.1250759001764176e-08	1.3316640380081348e-08
35	3.795056129147877e-08	3.8320056431655044e-08	2.01096293865815e-08	1.8689298033492025e-08	1.1280147009274264e-08	1.3371470487824186e-08
36	3.821275245433504e-08	3.830406299091229e-08	2.024212087168504e-08	1.8926701351603114e-08	1.1436475459130128e-08	1.351532207964223e-08
