"Belgium_West_Europe"	"Germany_West_Europe"	"Italy_West_Europe"	"Netherlands_West_Europe"	"United_Kingdom_West_Europe"	"Unknown"
"Jiangsu_South_China"	0.0595535309911348	0.00397535674930973	5.31782931819722e-15	0.0385872672611642	0.806527447814033	0.0913563971843534
"Jiangxi_South_China"	2.40790357034506e-05	0.00918589365207628	0.0220975108873727	0.0447516480806351	0.749799468360752	0.174141399983461
"Malaysia_Southeast_Asia"	0.0357525604481288	0.027168770779041	0.0655502981222569	0.0456973757236164	0.685846733581252	0.139984261345705
"Moldova_East_Europe"	0.112420466748532	0.0406454634362463	0.199884002031124	0.00752745075660181	0.495742976442774	0.143779640584722
"Pakistan_South_Asia"	4.27264576932283e-05	0.111028619363189	2.50186091025008e-23	0.0703752943224639	0.758240622718385	0.0603127371382691
"Qinghai_West_China"	0.10268579844674	0.0755087584184822	0.0197835801882283	0.0373902583341477	0.684088400559757	0.0805432040526448
"Romania_East_Europe"	0.0840398668442125	0.0426617890675083	0.200068975512893	0.0431396497694566	0.521940760392032	0.108148958413898
"Russia_East_Europe"	0.103078338543005	0.0813058010872433	0.150080327372899	0.0224601563202602	0.553581726474838	0.0894936502017549
"Serbia_East_Europe"	0.0458380359599175	0.051431087952671	0.0211783630770678	0.117505910687963	0.65286654248336	0.111180059839021
"Shaanxi_North_China"	2.71030481054943e-05	0.0182025294185989	3.77628073898454e-19	0.0524499118270012	0.830585262863401	0.098735192842893
"Shandong_North_China"	1.34820225786546e-05	0.0283438455708325	4.32781131743328e-06	0.000800946294262673	0.910316311591077	0.0605210867099314
"Shanghai_South_China"	0.046849623334973	0.0264277250727198	0.0380100925845555	0.00773321367154416	0.716349803752143	0.164629541584065
"Shanxi_North_China"	0.00961167529799911	1.81129266761721e-08	0.0401059645671498	0.0303999955986029	0.758878432618148	0.161003913805174
"Sichuan_Southwest_China"	0.00957295455328128	0.0288304743144009	0.0148419692660405	9.5036414938209e-08	0.869734613161493	0.0770198936683689
"Somalia_Africa"	0.0334352528992555	0.0297492659528439	9.80320767269819e-21	0.0242184141177805	0.802573383141872	0.110023683888248
"South_Africa_Africa"	0.0671554890394351	0.0367523571623122	0.000101056937293295	0.0898706617066991	0.700258322224226	0.105862112930035
"Sweden_North_Europe"	0.0146119539989866	0.0523905699344123	0.0281099014163034	0.0423247393697226	0.778540023521991	0.0840228117585844
"Taiwan_South_China"	0.0280146834180267	0.00013101582181042	5.11999118703987e-05	0.039918613872674	0.70977219269696	0.222112294278658
"Tajikistan_Central_Asia"	0.13220674680905	0.027449244702609	0.149068264082051	0.0366685780517083	0.492045901347877	0.162561265006705
"Thailand_Southeast_Asia"	0.0528702431991924	0.067001571400648	0.000963597710244675	0.0804521060473279	0.718731797504466	0.0799806841381208
"Tianjin_North_China"	0.0362594557210809	0.0451051056705559	0.0105156877048877	0.0542769379249509	0.671315491333615	0.182527321644909
"Tunisia_Africa"	2.26108824704917e-05	0.0916645614208222	1.04350752884241e-18	0.0890241039409953	0.693626333114613	0.125662390641099
"Turkey_West_Asia"	0.0363576029756629	0.0478465087808983	5.95021859068726e-07	0.154776861090318	0.669119444029666	0.0918989881015959
"Uganda_Africa"	3.60928124508851e-05	0.0452161354942771	0.00833189614923489	0.00260177549635051	0.843615160760584	0.100198939287102
"United_States_North_America"	0.0423888713450019	0.0144013448665915	0.00908670863198855	0.0392719130595351	0.86234556603154	0.0325055960653433
"Vietnam_Southeast_Asia"	7.64550594584337e-06	0.021336588177826	0.0285795526134877	0.0427530109011205	0.810860834680415	0.096462368121205
"Zhejiang_South_China"	0.0305416742479902	0.000442026887650345	1.52696800591458e-05	0.0370063578364704	0.871983380689178	0.0600112906586519
